Formula,x_Hf,x_Zr,x_Ta,x_Nb,x_Ti,x_C,x_B,x_N,x_Si,Tm_K,OxRes,Toughness
B0.093C0.029Hf0.167N0.065Nb0.157Si0.222Zr0.267,0.16747587942475886,0.26652349504026657,0.0,0.157336710483824,0.0,0.028622064917296252,0.0933514255031898,0.0647715193997783,0.22191890523088612,2143.5207545237827,0.6112987572029653,1.2228705940731484
B0.035C0.017Hf0.119Ta0.131Ti0.111Zr0.587,0.11871977173038355,0.5866753726337544,0.1310800073464522,0.0,0.11145807846921832,0.016922114028204066,0.03514465579198759,0.0,0.0,2344.4018611444744,0.13160242188796453,0.8625052530307376
B0.139C0.205Hf0.046N0.050Nb0.036Ta0.261Ti0.126Zr0.136,0.045627517972789695,0.13640769423819032,0.2612793259878429,0.03584734662117498,0.12621188498324276,0.20494371963375774,0.1393987162817453,0.05028379428125636,0.0,2783.078892048553,0.3455277679892257,1.3281169537650297
B0.421C0.016Hf0.169Nb0.108Si0.029Ta0.147Zr0.110,0.16905234305958983,0.1103622634316249,0.14665946905838023,0.10771143081716138,0.0,0.015646488320471004,0.42127842701571977,0.0,0.02928957829705298,2540.204520247031,0.742181899008206,1.02082875469496
Hf0.116N0.073Si0.034Ta0.365Ti0.232Zr0.180,0.11583171175649322,0.18022378661891134,0.36457529009959977,0.0,0.23247951812270704,0.0,0.0,0.07337773810980569,0.03351195529248292,2395.927780774523,0.19082746587992563,1.1620246189979127
B0.025Nb0.219Si0.199Ta0.019Ti0.054Zr0.485,0.0,0.48469125652164746,0.018810885374436953,0.21923836730978494,0.05373563892867886,0.0,0.024910957028140345,0.0,0.19861289483731145,2194.0929836720843,0.3324568754673006,0.9329410230608303
B0.074Hf0.075N0.649Nb0.023Si0.179,0.07471910598564369,0.0,0.0,0.023191806728917273,0.0,0.0,0.0738038042773189,0.6491546687309792,0.17913061427714094,776.5669401297898,0.5153894241263287,0.8139448401481992
Hf0.050N0.017Nb0.023Si0.136Ta0.047Ti0.224Zr0.503,0.05006031092921162,0.5028113156151838,0.04738771218158162,0.023237695163723662,0.22364116247696025,0.0,0.0,0.01671784130819274,0.13614396232514628,2086.1766320340844,0.3281736654454358,0.9553196026185462
B0.034C0.044N0.014Nb0.565Si0.099Ta0.163Ti0.053Zr0.028,0.0,0.027737918981539288,0.16301828325873005,0.5647591829605905,0.05263922169578359,0.04429463743223674,0.034290350589310147,0.014181147098030204,0.09907925798377958,2675.5161159830755,0.32073291203887044,1.1109528602010736
Hf0.261N0.061Nb0.116Ta0.131Ti0.387Zr0.044,0.26102697627716115,0.044277637723838,0.13087206344420999,0.11594047958599622,0.38660894052119027,0.0,0.0,0.0612739024476044,0.0,2254.78701181808,0.1403377253412835,1.1079525219525748
B0.148Hf0.198Si0.520Ti0.135,0.19791110229319678,0.0,0.0,0.0,0.1345673591577388,0.0,0.14780667927809782,0.0,0.5197148592709666,1981.1173236862944,1.0,0.7789318630181615
B0.634Hf0.025N0.061Ta0.023Ti0.120Zr0.136,0.025350921449767985,0.13600366105108808,0.022966511978308,0.0,0.12043557287182477,0.0,0.6340995849043977,0.06114374774461345,0.0,2162.299506220001,1.0,0.670348484352659
B0.055C0.123Hf0.286N0.015Nb0.101Si0.267Ta0.102Ti0.037Zr0.014,0.28626151228948316,0.014386931957422317,0.10190289742216302,0.10069587245302375,0.03721921150746532,0.12331705456501198,0.054766002262234735,0.014888640172129423,0.2665618773710664,2523.02657480526,0.6049497128339317,1.2749807843065502
N0.133Nb0.745Si0.057Ta0.035Ti0.030,0.0,0.0,0.03545585875543715,0.7448465053683606,0.029844451744596264,0.0,0.0,0.1328098643545947,0.05704331977701124,2329.3641859237628,0.217283429513603,0.7157709857324689
Hf0.075Nb0.018Si0.509Ti0.041Zr0.358,0.074508180320257,0.3578761538119357,0.0,0.018203319382154026,0.04085522125752925,0.0,0.0,0.0,0.5085571252281239,1935.5729382159961,0.7495019442514713,0.74247846822935
C0.174Hf0.366N0.053Nb0.104Si0.042Ti0.084Zr0.176,0.36597227666247306,0.17585815369546026,0.0,0.10438399047364974,0.0844828164189873,0.17372231890634668,0.0,0.05327524717967667,0.04230519666340644,2539.421545505326,0.2084707475889991,1.1865038121270086
B0.197Hf0.081N0.097Nb0.070Si0.463Ta0.044Ti0.013Zr0.035,0.08122059397554633,0.03503775270289698,0.043647256005463854,0.07047530632338915,0.012579460757123451,0.0,0.19656183284462067,0.09701259234838702,0.46346520504257255,1893.361332354855,1.0,1.0722258061087189
B0.085C0.104Hf0.113N0.284Si0.116Ta0.020Zr0.278,0.11320968417458836,0.2779997775112828,0.019940938292008156,0.0,0.0,0.10385183268191316,0.08500773537143469,0.28401550959015553,0.11597452237861737,1821.6584354523472,0.44375236227260784,1.2183436484880843
B0.036C0.027Nb0.185Si0.070Ta0.064Ti0.617,0.0,0.0,0.06433298440694639,0.1848750381420991,0.6172227211686115,0.02686981990438102,0.03629890694221896,0.0,0.07040052943574303,2226.402076572154,0.2069777086331965,0.8361058610815213
B0.013C0.031Hf0.097N0.295Nb0.182Ta0.034Zr0.348,0.09717691353873151,0.3483826626050275,0.03424575172076348,0.18156067386595284,0.0,0.03075994859072482,0.013000686417281759,0.2948733632615181,0.0,1842.9326929668262,0.1668220224053221,1.1565568969063114
B0.135Hf0.164N0.177Nb0.270Si0.135Ta0.119,0.16407070904982302,0.0,0.11909506388540268,0.27040634005026953,0.0,0.0,0.13506871454814376,0.17665611555336524,0.13470305691299572,2104.724380583495,0.5314693754858829,1.292617699282842
Hf0.169N0.126Nb0.054Si0.321Ti0.090Zr0.240,0.1689755000552712,0.2397055957780186,0.0,0.05395845367970842,0.0897086612487922,0.0,0.0,0.12638835151539285,0.32126343772281685,1828.9668891318936,0.6199287676562754,1.144629717079558
B0.342C0.054Hf0.018N0.155Nb0.261Si0.011Ta0.126Ti0.013Zr0.020,0.017980061891650693,0.02020629732629231,0.12613943551552992,0.260740274522521,0.012634941732712826,0.05447264764110871,0.34197684636502845,0.15506300933093106,0.010786485674225075,2295.4659984637824,0.6521028914428604,1.1769146291180483
B0.180C0.028Hf0.051N0.252Nb0.026Si0.055Ta0.094Ti0.097Zr0.216,0.051333428581763915,0.21631896996638908,0.093764384653366,0.02618628461817888,0.0967889287898028,0.02813798357620729,0.17996272535844948,0.2522226087741685,0.0552846856816741,1842.0455342371117,0.47582900994416544,1.3579641667835167
B0.188C0.153Hf0.051Nb0.258Si0.194Ta0.044Ti0.042Zr0.070,0.0509075319066248,0.06961569590423891,0.043994749436493986,0.2575456159571466,0.04242083344902178,0.15342539702301342,0.188474477154075,0.0,0.1936156991693855,2579.273334592336,0.631084623458249,1.2873731747330248
B0.038C0.052Hf0.031N0.230Nb0.054Si0.017Ta0.418Ti0.148Zr0.012,0.030953767832162266,0.011764327457922979,0.4179792058395094,0.05447524657484205,0.14753325943621712,0.052347578831738295,0.03801159215005138,0.22975455537221312,0.017180466505343307,2272.8942732721084,0.2057459813670721,1.2840148382882242
B0.028C0.012Hf0.014N0.126Si0.031Ta0.105Ti0.098Zr0.586,0.014020717826064063,0.5856225929727903,0.10505889038195926,0.0,0.09838702181243147,0.011870566173833459,0.028350565193374016,0.12564435251819622,0.03104529312135134,2044.7400969804694,0.22216888266674842,0.9526176133895963
B0.065C0.200Hf0.112N0.091Nb0.075Si0.030Ti0.300Zr0.128,0.11156203464045564,0.12804820879502213,0.0,0.07480069230230253,0.3000650071852239,0.20016916507807225,0.06508637605648146,0.09064121352532245,0.029627302417119566,2341.2739129590764,0.2720683437870842,1.287991134799705
B0.167C0.030Hf0.062N0.158Si0.295Ta0.045Ti0.078Zr0.165,0.06180813383057075,0.16524992731477012,0.044679053786287434,0.0,0.07816862042401884,0.030076908916626316,0.16728195429488305,0.15823145498407945,0.2945039464487641,1843.2037616667628,0.8257539463101311,1.253684809301476
B0.038C0.211Hf0.199Nb0.061Si0.076Ti0.149Zr0.266,0.19874602718040404,0.2658789661586372,0.0,0.061497480087189305,0.14865670588078342,0.21095555029242333,0.03812110398745022,0.0,0.07614416641311254,2579.5347332532397,0.2364665987845843,1.191645753994547
C0.031Hf0.049N0.137Nb0.209Si0.302Ti0.234Zr0.038,0.04878831063591663,0.03822606084638681,0.0,0.20941220758108162,0.23388378450376326,0.03134611337044766,0.0,0.13659447221599735,0.30174905084640663,1877.7436622156615,0.5976365288634994,1.2178696577218309
B0.231C0.094Hf0.172N0.232Nb0.097Si0.067Ti0.030Zr0.077,0.17245128183741698,0.07652590488755202,0.0,0.0966475765688757,0.030122069305873682,0.09431843413548682,0.23095275347492564,0.23175046194338345,0.06723151784648576,1979.0362653214934,0.5772742330587999,1.306149592377067
C0.560Hf0.022Ta0.278Ti0.107Zr0.034,0.021957811123307636,0.03398936468400262,0.2775461442245794,0.0,0.10663054640628779,0.5598761335618225,0.0,0.0,0.0,3537.5460458195475,0.08498172882747093,0.797028985301371
B0.153C0.405Hf0.096N0.103Nb0.018Si0.013Ta0.160Ti0.012Zr0.039,0.09557510332144137,0.039161932474518615,0.1603026323650733,0.017941786646175455,0.012248163317106252,0.40520784655258146,0.15319304375401893,0.10345877455626148,0.012910717012823023,2954.3424957085695,0.372113534534243,1.1801433687257947
B0.125C0.231N0.070Nb0.051Ta0.236Ti0.266Zr0.021,0.0,0.021476623833214147,0.23576516530872121,0.05144574286576445,0.2656348045083442,0.23055426500688694,0.1247034255877701,0.07041997288929881,0.0,2708.1819038032413,0.3228925088430018,1.208269988432494
B0.011C0.078Si0.204Ta0.227Ti0.481,0.0,0.0,0.2266881688102249,0.0,0.4813263878706472,0.07758116759556163,0.010678696131519259,0.0,0.20372557959204698,2361.2487674798776,0.37460523711023797,0.8848890954658204
B0.012C0.108Hf0.095Nb0.117Ta0.053Ti0.027Zr0.588,0.09493232153241703,0.5880295622919004,0.053068213006665754,0.11749950203186954,0.026584793187828172,0.10833490766265903,0.011550700286659905,0.0,0.0,2493.245201632499,0.08365594146903677,0.9232454002134939
B0.054C0.280N0.139Si0.129Ta0.175Ti0.177Zr0.047,0.0,0.04656307717483583,0.1748750565323241,0.0,0.1771723506548308,0.2800082840273323,0.05351145351703475,0.138881685403055,0.12898809269058717,2491.3801222273196,0.40327162715082,1.2821940813706116
B0.439C0.189Hf0.013Si0.154Ti0.177Zr0.028,0.013003081986301542,0.028026448909794173,0.0,0.0,0.1774504136397833,0.18871989169687173,0.4390211434216027,0.0,0.15377902034564656,2450.782430969469,0.9654828470486171,0.8472036696579957
B0.018Hf0.054N0.235Nb0.310Si0.297Ti0.086,0.05404622410618719,0.0,0.0,0.31003632837250295,0.08589117701942194,0.0,0.01824227964927962,0.23508510289712223,0.296698887955486,1716.2382070293272,0.597429281588441,1.1358775304160031
B0.107Hf0.154Nb0.294Si0.061Ta0.252Ti0.069Zr0.062,0.1540641032984569,0.06185753571204155,0.2524435262814458,0.2940162556397263,0.06928347162670927,0.0,0.10683905636202821,0.0,0.061496051079592,2645.98938332948,0.25505140517209235,1.3045928348313263
B0.188C0.039N0.229Nb0.012Ta0.350Ti0.181,0.0,0.0,0.35003983025444213,0.012275463080224444,0.18099188110901784,0.03918876741677167,0.18802098091668848,0.22948307722285544,0.0,2158.1898117391174,0.41269139420515943,1.1081176920040647
B0.029C0.068Hf0.235N0.408Nb0.109Ta0.122Ti0.027,0.23533967293961838,0.0,0.12230653057925142,0.10939310151575357,0.027388281161517737,0.06817576885862493,0.029439380238764804,0.4079572647064692,0.0,1727.6832449043097,0.18180878686355786,1.222260564485886
B0.099C0.015Hf0.056N0.084Si0.168Ta0.042Ti0.537,0.05618229646143133,0.0,0.041686349844131276,0.0,0.5365251321660197,0.014772456389826296,0.09875589263342978,0.08385871232304,0.16821916018212155,1899.2499333302253,0.5319736756206747,0.9576247001764553
