rank,feature_name,source,mean_abs_shap,original_index
1,R_16,Roost,233.1762835741679,7
2,R_14,Roost,103.21986869821563,5
3,R_35,Roost,60.04651757535208,26
4,R_17,Roost,37.1977853188849,8
5,R_11,Roost,33.88339806200144,2
6,R_33,Roost,14.634439620356979,24
7,R_12,Roost,7.571351641758546,3
8,R_13,Roost,6.136606721149255,4
9,R_22,Roost,5.443963964919254,13
10,R_31,Roost,4.915244906468776,22
11,R_32,Roost,4.448864223722729,23
12,R_20,Roost,2.74380310673668,11
13,R_28,Roost,2.4928287591062133,19
14,R_19,Roost,2.17326125972536,10
15,R_64,Roost,1.1955699581546237,55
16,R_29,Roost,1.0928270271331568,20
17,R_09,Roost,1.0058656276572826,0
18,R_25,Roost,0.8340572038675319,16
19,R_36,Roost,0.7156720035328987,27
20,R_30,Roost,0.619002975922421,21
21,R_62,Roost,0.5986468897064648,53
22,R_26,Roost,0.5629054850673463,17
23,R_66,Roost,0.5500646819726978,57
24,R_58,Roost,0.5019816713579103,49
25,R_68,Roost,0.48779690328547887,59
