Formula,shap_R_16,shap_R_14,shap_R_35,shap_R_17,shap_R_11,shap_R_33,shap_R_12,shap_R_13,shap_R_22,shap_R_31,shap_R_32,shap_R_20,shap_R_28,shap_R_19,shap_R_64,shap_R_29,shap_R_09,shap_R_25,shap_R_36,shap_R_30,shap_R_62,shap_R_26,shap_R_66,shap_R_58,shap_R_68
B0.093C0.029Hf0.167N0.065Nb0.157Si0.222Zr0.267,134.27663192208786,-91.6211986294005,-53.36751585255085,-39.47556980893184,-35.58084174654477,-19.03629117606111,-2.821342254378711,5.291314806135057,-3.5514099127830376,-7.750770231245104,-11.464666497326945,2.5156010650344576,1.8545190007865455,-2.1159452516495536,-0.34741340169052104,0.6392690251486018,0.6279786469767881,-0.8357606190027593,-0.8468443898340206,-0.5884179646475853,-0.24023887554449802,-0.2894619225466795,0.37125908339460917,-0.3608875582774472,-0.22093201897339632
B0.035C0.017Hf0.119Ta0.131Ti0.111Zr0.587,206.327160267337,-90.7833127977905,-47.88351056115675,43.82638933584987,-16.778341145749295,-20.14546725287992,-9.716533328782825,1.148921631112,-4.828706340481465,5.190689239794381,3.5123856780069036,-4.609965249170595,-18.466443662415,3.181784791652389,-0.5138833543151627,0.8236226799735387,-0.12388812891080117,0.8591095543103252,0.28067613777865413,-1.0394334953803839,-0.2999879808159254,0.47963976994161706,0.3941640260744487,0.5205703021199766,-0.4327933175714728
B0.139C0.205Hf0.046N0.050Nb0.036Ta0.261Ti0.126Zr0.136,195.39029891281012,108.1757491644366,158.25817848333324,22.962043711498815,23.399771046828015,6.601714504076446,-3.3824910946884685,-0.2251985735034725,1.4846263738247931,-11.512765233223247,4.645051095745431,-2.2377680640027044,0.10611932507185065,2.8623218095804663,-0.685701636055506,1.123434482852254,-0.20123190328524304,0.6629612499178207,0.7837308935319279,-1.4750196065299825,-2.212845506896871,0.7342523791444255,-0.059758038631098916,0.38337369725574133,-1.5162914603075177
B0.421C0.016Hf0.169Nb0.108Si0.029Ta0.147Zr0.110,225.09411868404104,-80.19314522992167,-47.14513474460984,36.95663121950826,6.836401930895564,16.671987193970708,-3.2196593241003493,8.504540145963807,-2.668310513625363,5.853571186294922,3.383637832252233,4.023100276165329,4.525062797085537,3.4555491953311455,-0.43282231987064035,-0.06111231072146155,0.2536662196110142,-0.424557355148246,1.045960033573081,-1.1503822445059395,-0.2926303417456302,0.4599157791061699,-0.35737672311587065,-0.059489342359440714,-0.3432284783006584
Hf0.116N0.073Si0.034Ta0.365Ti0.232Zr0.180,133.2997717850908,-82.02028697944661,-53.54620999762828,35.34024750545777,87.25710526090319,-17.13072476924721,-5.702733304540712,-3.343057732884336,-4.62957967222079,-9.651885082200192,2.6026119623405437,-3.6962585192167734,-4.472568115052937,3.536863661839041,-0.4156755392980181,-0.7091426059179873,0.8250623090011548,-0.3244674405382217,-0.6364047121917842,-0.15695088472369445,0.1415184243674752,0.448959379177743,-0.2056937563903179,0.31440623977502824,-0.06088672279939328
B0.025Nb0.219Si0.199Ta0.019Ti0.054Zr0.485,213.58735662350992,-94.50532624871924,-50.294733297083596,-44.19241499633001,-35.66256326124931,-2.9399069752611733,4.977478576415083,5.707726604351155,-6.412189461110767,4.3893366161836305,-12.746284896788216,-4.037485632866254,-2.55324961607338,-1.9249357668834617,1.2549906923361833,-0.5770387350364459,-0.5442762009899719,0.8653511708306082,-0.4037110201951578,-0.5399134061188655,-0.28445780012153077,0.456630534666713,-0.11568666999720864,-0.31622199763358383,-0.23435558606538454
B0.074Hf0.075N0.649Nb0.023Si0.179,-1347.7880787036363,-47.41790730367221,-26.327294895905617,-13.244037779387817,-16.715402283912745,-9.312483684806468,-4.538715917134403,4.165174255973536,-3.4307555025502285,2.0063629525430136,2.2524405639403255,-1.399896223026124,1.2083730300829916,-1.0975024119389238,-0.3149287611728139,-0.5664887701387209,-0.5454216845333595,-1.4290020292578975,-0.9489196926709424,-0.1256987680787626,-0.025390860523567937,-0.26029579335347686,-0.9577670013479638,0.09354410944978044,-0.1316044901529572
Hf0.050N0.017Nb0.023Si0.136Ta0.047Ti0.224Zr0.503,200.82244488131855,-97.72888541033137,-51.20971078566858,15.748119544351818,-39.14869409134429,-22.23522108997713,-13.809156415043152,-8.44493947165065,-8.516996985505116,-9.589272120143553,-10.852930055954815,-4.772341659019797,-23.032992674696686,-1.6732243290119877,-0.5691530429096908,-0.7021784101818174,-0.7827441046990867,-0.6178208876986108,-0.5448692503255269,0.3315111792948538,-0.08362783577820443,0.4645326067099128,-0.5126051425031799,-0.3347258292391579,-0.272849328538765
B0.034C0.044N0.014Nb0.565Si0.099Ta0.163Ti0.053Zr0.028,230.6826077794098,-67.56471491222693,-33.74960206284536,32.80803836787962,6.990161432686243,41.92526237191778,23.06661495576928,8.526434314496031,-2.918453602752207,4.927450128170692,3.1347202496108717,-3.992815546166856,4.213691751069883,-1.6130016693077731,-0.27819130264317865,-0.19100471042047468,-0.48347474517827993,0.6573804414530443,0.11994059913791752,0.5960853161952115,-0.24255876107266539,0.05271101112839736,-0.35491201424008284,0.47838216015090435,0.19333160409147612
Hf0.261N0.061Nb0.116Ta0.131Ti0.387Zr0.044,141.81747682742,-94.35224696669225,-50.65473826698859,34.46262642350054,-16.424819080751686,16.42125668804431,-4.397578940791025,-13.24431916827416,-5.1735111317895965,-3.0699631015234727,3.37257777210959,3.633645480834081,1.026269702468207,3.3941686620995637,-0.414048015867879,-0.6930872406522205,1.2423173504413079,0.7980448035239321,-0.5072829210354516,0.32085571190283874,-0.31833614726914794,0.14465485520338206,0.2421066434581218,-0.3972118165861461,-0.35245170595321457
