Formula,x_Hf,x_Zr,x_Ta,x_Nb,x_Ti,x_C,x_B,x_N,x_Si,Tm_K,OxRes,Toughness,Roost_MatBERT_CosineSim,LitTheory_Gap_Flag,F_R_16,F_R_14,F_R_35,F_R_17,F_R_11,F_R_33,F_R_12,F_R_13,F_R_22,F_R_31,F_R_32,F_R_20,F_R_28,F_R_19,F_R_64,F_R_29,F_R_09,F_R_25,F_R_36,F_R_30,F_R_62,F_R_26,F_R_66,F_R_58,F_R_68
B0.093C0.029Hf0.167N0.065Nb0.157Si0.222Zr0.267,0.16747587942475886,0.26652349504026657,0.0,0.157336710483824,0.0,0.028622064917296252,0.0933514255031898,0.0647715193997783,0.22191890523088612,2143.5207545237827,0.6112987572029653,1.2228705940731484,0.21061062308803058,0,0.004195349725355856,0.0008192226001299209,0.0,0.04924800049887501,0.0,0.0,0.02475484046587065,0.0,0.004793505492976728,0.01726313172949734,0.059146602237645465,0.026350103954077102,0.0,0.0,-0.10499957779966793,0.007628452777027195,0.028048170189096368,0.03716606381452237,0.0,0.02488034819210122,-0.019122079933077116,0.0,0.045629767516582084,0.06408435224432167,0.00010530769399792923
B0.035C0.017Hf0.119Ta0.131Ti0.111Zr0.587,0.11871977173038355,0.5866753726337544,0.1310800073464522,0.0,0.11145807846921832,0.016922114028204066,0.03514465579198759,0.0,0.0,2344.4018611444744,0.13160242188796453,0.8625052530307376,0.31238343842341454,0,0.0,0.00028635794318354087,0.002218150831134491,0.0,0.017181968325945964,0.0,0.0,0.012422903256050428,0.002008989514623908,0.0,0.0,0.0,0.06538970971897089,0.015561788550587803,0.045357697844818114,0.009927787553247502,0.014094384199714377,0.0,0.004606761739402267,0.020618504032849354,0.0562438433881949,0.07690141215481511,0.01383697720141855,-0.23575826475348008,-0.03130396775646359
B0.139C0.205Hf0.046N0.050Nb0.036Ta0.261Ti0.126Zr0.136,0.045627517972789695,0.13640769423819032,0.2612793259878429,0.03584734662117498,0.12621188498324276,0.20494371963375774,0.1393987162817453,0.05028379428125636,0.0,2783.078892048553,0.3455277679892257,1.3281169537650297,0.5643116693818543,0,0.00252845996731971,0.042001928217320295,0.053547556931349674,0.0,0.06826688618866149,0.009366170563633178,0.0012850322597786653,0.0159294399110233,0.009351073250999653,0.00685909643545368,0.0,0.0016356254522344835,0.017216272216019825,0.011921527142428681,0.11590785829429286,0.027955900243839028,0.0020818703963572465,0.0,0.036422002633664956,0.019015057467756558,-0.0540308397754191,0.035640510410110134,-0.019628847252063448,-0.018438862235401733,-0.04275513050838747
B0.421C0.016Hf0.169Nb0.108Si0.029Ta0.147Zr0.110,0.16905234305958983,0.1103622634316249,0.14665946905838023,0.10771143081716138,0.0,0.015646488320471004,0.42127842701571977,0.0,0.02928957829705298,2540.204520247031,0.742181899008206,1.02082875469496,0.42107767709576494,0,0.0,0.0002448125967626355,0.0022947056697084247,0.0008578793968191969,0.021508999864485987,0.01579690125516334,0.011601752328680142,0.0,0.0026450755112301296,0.0,0.0032324641558205643,0.01820886975394204,0.0,0.024793126876194595,-0.006910621971395914,0.0017267818658036633,0.02857869469393725,0.004951471838344117,0.06178447043187505,0.04649324074036943,-0.04382026164788445,0.0161856709589632,-0.12063298820814844,0.029257014363850475,-0.005454700123082657
Hf0.116N0.073Si0.034Ta0.365Ti0.232Zr0.180,0.11583171175649322,0.18022378661891134,0.36457529009959977,0.0,0.23247951812270704,0.0,0.0,0.07337773810980569,0.03351195529248292,2395.927780774523,0.19082746587992563,1.1620246189979127,0.10858389617076669,0,0.00538429245011123,0.0,0.0,0.0011230511475253742,0.13291514215120734,0.0,0.0,0.05404672634656607,0.0,0.01322441381567998,0.006039651479814939,0.0,0.04189833906741408,0.04222937991635674,0.08397164319898157,0.0,0.01341698544843933,0.0038817471458353695,0.0,0.0,-0.08210258800176592,0.06570513928943797,-0.05575563126319406,-0.15538773372205866,-0.08755980514428571
B0.025Nb0.219Si0.199Ta0.019Ti0.054Zr0.485,0.0,0.48469125652164746,0.018810885374436953,0.21923836730978494,0.05373563892867886,0.0,0.024910957028140345,0.0,0.19861289483731145,2194.0929836720843,0.3324568754673006,0.9329410230608303,0.4937199755499484,0,0.0,0.0,0.0,0.03944708199565694,0.0003538494085702061,0.00412406779714307,0.04806546170066018,0.0028875188910733466,0.0,0.0,0.09626593356009831,0.0,0.02604519435233491,0.0,0.18790538196471876,0.0,0.0,0.0,0.00046859715722387266,0.01207412306312611,0.0064852800202753694,0.009117471668420528,-0.08793172367896768,-0.07856956481775713,-0.08097318483216485
B0.074Hf0.075N0.649Nb0.023Si0.179,0.07471910598564369,0.0,0.0,0.023191806728917273,0.0,0.0,0.0738038042773189,0.6491546687309792,0.17913061427714094,776.5669401297898,0.5153894241263287,0.8139448401481992,-0.2195104872357323,1,0.4214017839352273,0.0,0.0,0.032087776971305854,0.0,0.0,0.0005378598993514525,0.0,0.0,0.0,0.0,0.0017328710649765341,0.0,0.0,0.10820064424505232,0.0,0.0055829447992938545,0.013384479353447151,0.0,0.0,-0.10623514621916064,0.0,-0.06059982723866114,-0.1249948406934565,0.05673252456219914
Hf0.050N0.017Nb0.023Si0.136Ta0.047Ti0.224Zr0.503,0.05006031092921162,0.5028113156151838,0.04738771218158162,0.023237695163723662,0.22364116247696025,0.0,0.0,0.01671784130819274,0.13614396232514628,2086.1766320340844,0.3281736654454358,0.9553196026185462,0.2806166908784433,0,0.0002794862180059155,0.0,0.0,0.018535178477590848,0.0022455952658044192,0.0011011812101818681,0.0005399904765221461,0.05001536955404613,0.0,0.008405919782418256,0.06845472480977081,0.0011632862451742437,0.11244930713074945,0.002372243606033965,-0.010685491124979636,0.0,0.0025060347303293446,0.006815409085131696,0.0,0.0,-0.09938554650068987,0.023827077906014727,-0.07285361791597432,0.06391182911636704,-0.0157659734182374
B0.034C0.044N0.014Nb0.565Si0.099Ta0.163Ti0.053Zr0.028,0.0,0.027737918981539288,0.16301828325873005,0.5647591829605905,0.05263922169578359,0.04429463743223674,0.034290350589310147,0.014181147098030204,0.09907925798377958,2675.5161159830755,0.32073291203887044,1.1109528602010736,-0.050253949471222636,0,0.00020110493301597046,0.001962014905253308,0.007220835751771116,0.009816699362616348,0.026574960676623547,0.09206607246083849,0.3189529347383137,0.002770887660737854,0.0,0.00039335550927045276,0.0027482524307051075,0.0,0.0014601024666489304,0.0,0.13139612614757729,0.00122864106441204,0.0,0.0,0.005589954085409322,0.0009511429664948629,-0.07725067207188951,0.0045217879335402765,-0.19544031642748388,-0.1303749448844415,0.10740205970449657
Hf0.261N0.061Nb0.116Ta0.131Ti0.387Zr0.044,0.26102697627716115,0.044277637723838,0.13087206344420999,0.11594047958599622,0.38660894052119027,0.0,0.0,0.0612739024476044,0.0,2254.78701181808,0.1403377253412835,1.1079525219525748,-0.0642317881973451,0,0.0037544911211585407,0.0,0.0,0.0,0.017127496990145322,0.015173369800130631,0.013442194806630807,0.14946647289091725,0.0,0.002713063654500818,0.0,0.030263592814456522,0.017118130609194097,0.03416113899999493,0.053406650937129575,0.0,0.06813508234439765,0.0,0.0,0.0,0.06499740640261228,0.005794705813353872,0.06070352696034374,0.2054247619698948,-0.05571749947381886
