Sample_ID,Data_Source,Molecular_Formula,Empirical_Formula,Dominant_Phase,Hf_content_wt%,Zr_content_wt%,Ta_content_wt%,Nb_content_wt%,Ti_content_wt%,Si_content_wt%,C_content_wt%,B_content_wt%,Valence_Electron_Conc,Sintering_Temp_C,Sintering_Time_min,Sintering_Pressure_MPa,Heating_Rate_C_per_min,Atmosphere,Atmosphere_Code,Powder_Particle_Size_um,Milling_Time_h,Milling_Speed_rpm,Ball_to_Powder_Ratio,Cooling_Rate_C_per_min,Homologous_Temperature,Grain_Size_um,Grain_Aspect_Ratio,Porosity_%,Density_g_cm3,Relative_Density_%,Phase_Fraction_Carbide_%,Phase_Fraction_Boride_%,SiC_Phase_Fraction_%,Mixing_Enthalpy_kJ_mol,Atomic_Size_Mismatch_%,Mixing_Entropy_J_molK,Omega_Phase_Stability,Electronegativity_Difference,Liquidus_Temp_C,Num_Principal_Elements,Phase_Stability_Index,Vickers_Hardness_GPa,Fracture_Toughness_MPa_m05,Flexural_Strength_MPa,Youngs_Modulus_GPa,Weibull_Modulus,Poisson_Ratio,Shear_Modulus_GPa,Bulk_Modulus_GPa,Pughs_Ratio_K_G,Critical_Flaw_Size_um,Specific_Strength_MPa_gcm3,Specific_Stiffness_GPa_gcm3,Nano_Hardness_GPa,Elastic_Energy_Density_MJ_m3,Thermal_Conductivity_W_mK,Thermal_Shock_Resistance_dT_C,CTE_1e6_per_C,Melting_Decomp_Temp_C,Specific_Heat_Cp_J_kgK,Thermal_Diffusivity_mm2_s,Thermal_Mismatch_Stress_MPa,Biot_Number,Phonon_MFP_nm,Cp_HighTemp_J_kgK,Reradiation_Flux_kW_m2,K_Therm_HighTemp_W_mK,Oxide_Thickness_100h_um,Kp_Parabolic_mg2_cm4s,Oxidation_Activation_Energy_kJ_mol,Hot_Corrosion_Resistance_Index,O2_Diffusion_Coeff_m2s,Mass_Gain_Oxidation_mg_cm2,Spallation_Resistance,BET_Surface_Area_m2_g,Milling_Energy_kJ_g,Green_Density_g_cm3,Densification_Rate_%_min,Sintering_Activation_Energy_kJ_mol,Powder_Flowability_s_50g,Carrs_Index_%,CTOD_um,J_Integral_kJ_m2,Notch_Sensitivity_Ratio,R_Curve_Slope,Fatigue_Crack_Growth_nm_cycle,Damage_Tolerance_Index,Test_Temperature_C,Oxidation_Rate_mg_cm2s,Creep_Rate_per_s,Emissivity,Ablation_Rate_mm_per_s,Leading_Edge_Survivability_mm,Plasma_Recession_Rate_um_s,Aero_Structural_FOM,TPS_Efficiency_Index,Service_Life_h,Heat_Absorption_Specific_J_g,Reusability_Index
UHTM_0001,Experimental,Hf0.05Zr0.09Nb0.03Ti0.02Si0.27C0.45B0.09,Hf2.4Zr4.5Nb1.5TiSi14.0C23.0B4.8,HfSi,23.301,22.641,3.733,7.851,2.639,21.73,15.216,2.889,4.087,1943.2,155.9,51.49,28.34,Ar,1,4.692,20.69,441.4,7.37,46.15,0.6464,30.681,1.169,0.847,6.6971,99.9,67.19,27.87,27.83,-6.2793,15.0,12.5291,6.5801,0.4455,4000.0,5,12.254,22.203,5.654,596.13,424.09,7.74,0.2121,166.09,247.79,1.5254,28.6385,84.006,57.94,20.392,0.001,44.443,100.0,7.0499,3297.8,468.1,15.3317,0.0,0.0158,5.0,573.26,573.45,9.083,500.0,100.0,220.19,7.965,1.190523e-14,200.0,0.5394,0.1675,30.0,4.8852,0.25738,391.28,44.079,18.749,0.12694,0.0789,0.9509,0.4751,0.000794,0.2358,1559.2,0.2889,4.532e-09,0.9007,0.01218,15.0,5.8743,29.874,1.6477,1203.69,689.2,8.28
UHTM_0002,Synthetic,Hf0.07Zr0.06Ta0.02Nb0.02Ti0.01Si0.21C0.40B0.21,Hf4.7Zr3.9Ta1.2Nb1.5TiSi14.0C27.4B14.4,HfSi,33.957,14.44,8.504,5.64,1.938,15.922,13.301,6.298,4.0785,2083.3,137.9,57.87,7.3,Ar,1,1.822,40.17,465.7,15.32,48.95,0.6802,10.226,3.534,0.225,7.2508,99.9,55.04,31.55,18.48,-7.2882,15.0,13.1756,6.2043,0.4301,4000.0,7,9.877,21.858,5.883,873.96,407.07,8.98,0.1974,181.43,216.35,1.2207,14.4239,125.08,54.89,20.304,0.001,54.292,100.0,8.307,3432.0,397.79,18.9569,1.35,0.01,26.007,500.33,348.105,8.801,500.0,100.0,233.88,6.642,1.91661e-15,200.0,0.6859,0.5117,30.0,5.3156,0.33237,476.43,28.777,19.886,0.10965,0.07393,1.0,0.28,0.000661,0.3386,1364.0,1.0166,2.059e-09,0.8708,0.01673,15.0,9.6152,35.7259,0.2026,420.21,529.68,4.558
UHTM_0003,Synthetic,Hf0.07Zr0.05Ta0.03Ti0.07Si0.20C0.25B0.32,Hf2.1Zr1.4TaTi2.0Si6.1C7.6B9.6,HfSi,32.246,11.532,15.805,0.348,8.204,14.91,7.927,9.028,4.0713,2056.1,90.5,88.36,15.48,Vacuum,0,3.441,21.91,206.1,6.92,1.52,0.6766,12.946,1.994,1.354,6.8631,98.503,57.7,34.59,20.4,-3.3404,15.0,13.9121,13.9694,0.3976,4000.0,7,15.017,19.697,5.466,794.16,448.09,10.33,0.2055,186.61,264.11,1.3659,15.0811,125.408,63.827,18.195,0.01298,45.11,100.0,6.9384,3354.2,403.44,15.8155,10.47,0.01,8.31,558.91,867.577,9.067,500.0,100.0,229.61,6.154,2.047477e-14,200.0,0.5254,0.2121,9.4334,5.3491,0.35778,483.28,39.656,17.64,0.06762,0.06893,0.9903,0.2877,0.000867,0.3543,1776.2,0.6719,8.09e-09,0.8743,0.00959,15.0,5.3367,37.3155,0.6797,648.99,708.19,5.463
UHTM_0004,Experimental,Hf0.06Zr0.10Ta0.03Nb0.02Ti0.02Si0.32C0.44B0.01,Hf6.2Zr10.0Ta2.9Nb2.0Ti1.9Si30.9C43.1B,HfSi,26.376,21.598,12.479,4.362,2.126,20.555,12.248,0.256,4.1659,1692.3,31.4,47.2,27.14,Ar,1,0.279,6.22,461.6,11.38,31.51,0.552,9.092,2.217,2.926,6.7837,99.888,58.78,24.36,26.94,-5.8085,15.0,11.968,6.9788,0.4728,4000.0,5,5.995,21.79,5.892,877.02,417.91,10.71,0.1987,174.32,246.02,1.391,14.3648,101.73,64.241,20.392,0.001,57.002,100.0,8.1617,3387.1,412.82,19.5319,14.01,0.01,28.014,610.26,2065.833,5.0,500.0,100.0,224.54,3.707,5.4116e-14,200.0,0.541,3.4779,13.3956,4.9319,1.24829,395.27,16.396,21.293,0.09554,0.07859,1.0,0.2617,0.000797,0.2446,2265.0,4.0542,4.0672e-08,0.8777,0.02469,15.0,14.2589,37.6831,1.3824,115.02,926.31,0.0
UHTM_0005,Experimental,Hf0.03Zr0.09Ta0.03Nb0.02Ti0.02Si0.11C0.40B0.29,Hf1.5Zr4.3Ta1.6Nb1.1TiSi5.6C19.9B14.6,ZrC,16.502,23.607,17.217,6.087,2.903,9.616,14.49,9.578,4.1373,1689.5,134.2,89.57,18.96,Ar,1,4.063,0.1,228.3,8.71,21.23,0.5601,47.913,4.083,0.501,6.7219,99.9,61.45,42.81,11.75,-6.9758,15.0,12.997,6.25,0.425,4000.0,7,14.967,21.813,8.294,302.71,420.4,5.0,0.1722,183.66,220.1,1.2059,100.0,43.086,57.711,20.135,0.01149,45.109,100.0,7.3679,3354.5,409.07,16.7108,0.0,0.1677,5.0,528.01,687.102,10.632,500.0,100.0,193.2,5.631,1.166598e-14,200.0,0.6009,0.2,0.2557,5.2326,0.31565,479.7,40.577,19.071,0.54049,0.15913,1.0,0.6976,0.000267,0.4407,1654.4,1.09145,5.724e-09,0.8724,0.01308,15.0,7.6245,14.4796,0.7311,410.24,675.71,4.548
UHTM_0006,Synthetic,Hf0.03Zr0.04Ta0.03Nb0.02Ti0.06Si0.09C0.53B0.21,Hf1.3Zr1.5Ta1.1NbTi2.5Si4.0C22.6B8.9,HfC,18.812,11.031,16.032,7.279,9.241,8.743,21.285,7.576,4.1574,1760.9,90.0,27.05,13.18,Vacuum,0,5.544,32.37,320.9,16.23,43.13,0.6019,42.804,2.309,0.628,6.9632,99.9,71.33,35.62,9.59,-6.5959,15.0,12.1314,5.9558,0.4203,4000.0,8,7.728,24.881,7.543,422.12,426.46,5.0,0.2031,177.42,247.67,1.4655,100.0,41.086,62.212,23.617,0.00142,35.912,100.0,7.1126,3238.2,398.12,13.0509,13.9,0.1004,5.0,542.91,656.482,7.412,500.0,100.0,217.85,5.507,1.631961e-14,200.0,0.7379,0.4573,30.0,4.7973,0.42107,450.4,47.568,20.564,0.32427,0.12495,0.9304,0.6261,0.00043,0.3348,1650.0,1.07498,6.603e-09,0.8512,0.01489,15.0,8.5283,19.8156,0.4109,411.37,634.72,4.563
UHTM_0007,Synthetic,Hf0.02Zr0.08Ta0.02Nb0.02Ti0.02Si0.20C0.40B0.23,HfZr4.5Ta1.1Nb1.4Ti1.4Si11.7C23.0B13.4,ZrSi,10.262,23.686,11.808,7.422,3.836,18.83,15.855,8.301,4.1093,1816.6,184.3,82.14,27.69,He,3,6.234,60.25,120.2,8.93,13.34,0.621,11.909,1.969,0.556,6.7253,99.9,62.47,32.81,20.65,-5.089,15.0,12.9528,8.2673,0.4103,4000.0,7,5.869,24.18,5.684,821.17,390.4,12.63,0.2148,172.48,240.94,1.3762,15.2496,120.876,66.095,23.048,0.001,44.235,100.0,7.2937,3248.1,420.54,15.9586,0.0,0.0329,16.056,595.46,2444.13,5.0,500.0,100.0,222.47,1.0,3.8445214e-13,200.0,0.6575,0.1,8.652,5.1919,0.20266,397.54,54.89,21.542,0.09643,0.09179,0.9943,0.2847,0.000698,0.2188,2358.0,5.71145,4.0628e-08,0.8997,0.04448,14.683,24.6032,42.8325,1.3909,74.72,970.89,0.0
UHTM_0008,Synthetic,Hf0.10Zr0.13Ta0.04Nb0.04Ti0.07Si0.22C0.20B0.20,Hf2.6Zr3.3Ta1.1NbTi1.9Si5.7C5.0B5.0,HfSi,32.978,20.911,13.893,6.547,6.353,11.274,4.239,3.804,4.1664,1845.1,35.0,87.8,19.53,He,3,6.669,41.21,117.6,18.23,49.07,0.5862,16.715,1.676,9.577,6.9934,99.9,49.5,23.92,13.45,-2.4141,15.0,15.9867,24.0172,0.4286,4000.0,6,17.561,23.326,6.037,740.24,373.2,8.75,0.1901,164.88,198.03,1.2219,21.1682,122.744,40.06,21.747,0.001,48.702,100.0,8.301,3626.7,363.17,18.6721,12.83,0.1041,5.0,514.72,1018.447,5.0,500.0,100.0,200.82,5.477,1.135413e-14,200.0,0.5327,0.1,5.8407,5.2899,1.09035,450.9,51.546,22.04,0.14405,0.09696,1.0,0.3339,0.000583,0.2854,1864.3,1.25233,1.5076e-08,0.8635,0.02535,15.0,14.5628,34.2482,0.4701,325.27,677.7,2.9
UHTM_0009,Synthetic,Hf0.05Zr0.09Nb0.03Si0.23C0.36B0.23,Hf1.8Zr3.2NbSi8.0C12.8B8.0,HfSi,25.85,23.94,4.159,7.594,0.544,18.272,12.584,7.057,4.047,2007.8,152.8,34.55,16.61,Ar,1,8.379,71.94,388.1,18.38,31.07,0.6592,10.89,4.099,0.44,7.1402,99.9,55.67,34.44,23.07,-5.0406,15.0,13.0662,8.6984,0.4249,4000.0,6,10.457,22.883,6.525,880.13,412.89,11.88,0.2118,165.88,231.56,1.4544,17.4938,117.025,56.977,20.533,0.001,53.265,100.0,8.2043,3355.6,433.48,18.1433,9.76,0.1008,25.035,588.57,974.642,5.0,500.0,100.0,240.91,5.57,3.729731e-14,200.0,0.5699,0.6025,30.0,5.0568,0.34772,411.69,60.0,22.69,0.1212,0.10103,0.9847,0.2893,0.000484,0.2994,1849.3,1.47447,8.836e-09,0.848,0.02436,15.0,14.2292,36.5838,1.0999,285.39,801.68,1.595
UHTM_0010,Synthetic,Hf0.09Zr0.12Ta0.03Nb0.06Ti0.05Si0.39C0.23B0.03,Hf3.6Zr4.7TaNb2.3Ti1.9Si15.0C8.9B1.1,HfSi,30.692,20.422,8.637,10.124,4.302,20.173,5.098,0.551,4.1821,1634.0,227.7,54.43,25.88,Ar,1,2.233,20.65,277.8,7.95,39.88,0.5265,24.848,1.519,1.714,7.0936,99.9,48.68,19.6,23.56,-3.9305,15.0,14.0819,12.3943,0.4326,4000.0,6,17.494,22.034,6.173,633.09,409.2,8.27,0.192,172.34,225.06,1.3987,30.2663,86.387,47.762,20.933,0.00729,50.787,100.0,7.9051,3459.4,412.75,17.3866,4.6,0.059,5.0,518.9,389.517,7.618,500.0,100.0,222.12,7.669,6.53502e-15,200.0,0.5813,0.3614,15.8651,5.2102,0.12742,431.16,28.718,22.942,0.13931,0.08931,1.0,0.4139,0.000614,0.182,1392.9,0.61952,2.23e-09,0.8719,0.0174,15.0,9.626,27.6752,0.6307,626.61,554.25,6.415
